"type","code","message","context","selector"
"error","color-contrast","Elements must have sufficient color contrast (https://dequeuniversity.com/rules/axe/4.2/color-contrast?application=axeAPI)","<h1>This is a heading</h1>","html > body > h1"
"error","color-contrast","Elements must have sufficient color contrast (https://dequeuniversity.com/rules/axe/4.2/color-contrast?application=axeAPI)","<p>Page content. Many accessibilit...</p>","html > body > p:nth-child(4)"
"error","color-contrast","Elements must have sufficient color contrast (https://dequeuniversity.com/rules/axe/4.2/color-contrast?application=axeAPI)","<li>Page content</li>","html > body > ul > li:nth-child(1)"
"error","color-contrast","Elements must have sufficient color contrast (https://dequeuniversity.com/rules/axe/4.2/color-contrast?application=axeAPI)","<li>Page content</li>","html > body > ul > li:nth-child(2)"
"error","color-contrast","Elements must have sufficient color contrast (https://dequeuniversity.com/rules/axe/4.2/color-contrast?application=axeAPI)","<li>Page content</li>","html > body > ul > li:nth-child(3)"
"error","color-contrast","Elements must have sufficient color contrast (https://dequeuniversity.com/rules/axe/4.2/color-contrast?application=axeAPI)","<li>Page content</li>","html > body > ul > li:nth-child(4)"
"error","color-contrast","Elements must have sufficient color contrast (https://dequeuniversity.com/rules/axe/4.2/color-contrast?application=axeAPI)","<p>More content. <a href=\"#\">There...</p>","html > body > p:nth-child(7)"
"error","color-contrast","Elements must have sufficient color contrast (https://dequeuniversity.com/rules/axe/4.2/color-contrast?application=axeAPI)","<a href=\"#\">There is something wrong with t...</a>","html > body > p:nth-child(7) > a"
"error","color-contrast","Elements must have sufficient color contrast (https://dequeuniversity.com/rules/axe/4.2/color-contrast?application=axeAPI)","<footer>\n    © 2023 People who make web...</footer>","html > body > footer"
"error","document-title","Documents must have <title> element to aid in navigation (https://dequeuniversity.com/rules/axe/4.2/document-title?application=axeAPI)","<html lang=\"en\"><head>\n    <meta charset=\"UTF-8...</html>","html"
"error","image-alt","Images must have alternate text (https://dequeuniversity.com/rules/axe/4.2/image-alt?application=axeAPI)","<img src=\"test.jpg\">","html > body > img"
"error","meta-viewport","Zooming and scaling should not be disabled (https://dequeuniversity.com/rules/axe/4.2/meta-viewport?application=axeAPI)","<meta name=\"viewport\" content=\"width=device-width, user-scalable=no, initial-scale=1.0, maximum-scale=1.0, minimum-scale=1.0\">","html > head > meta:nth-child(2)"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_2.H25.1.EmptyTitle","The title element in the head section should be non-empty.","<title></title>","html > head > title"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 3:1, but text in this element has a contrast ratio of 2.82:1. Recommendation:  change background to #2e2e2e.","<h1>This is a heading</h1>","html > body > h1"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.2:1. Recommendation:  change text colour to #fff.","<p>Page content. Many accessibilit...</p>","html > body > p:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.2:1. Recommendation:  change text colour to #fff.","<li>Page content</li>","html > body > ul > li:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.2:1. Recommendation:  change text colour to #fff.","<li>Page content</li>","html > body > ul > li:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.2:1. Recommendation:  change text colour to #fff.","<li>Page content</li>","html > body > ul > li:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.2:1. Recommendation:  change text colour to #fff.","<li>Page content</li>","html > body > ul > li:nth-child(4)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img src=\"test.jpg\">","html > body > img"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.2:1. Recommendation:  change text colour to #fff.","<p>More content. <a href=\"#\">There...</p>","html > body > p:nth-child(7)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1.34:1. Recommendation:  change text colour to #fdfdff.","<a href=\"#\">There is something wrong with t...</a>","html > body > p:nth-child(7) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.2:1. Recommendation:  change text colour to #fff.","<footer>\n    © 2023 People who make web...</footer>","html > body > footer"
