"type","code","message","context","selector"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"idward-plugin-js\" found on the web page.","<script async=\"\" src=\"https://static.anonymised.io/light/bundle.js?v=0.3.0t\" id=\"idward-plugin-js\" idw_client_id=\"NDIw\" idw_hide_button=\"true\" type=\"text/javascript\"></script>","#idward-plugin-js"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button class=\"CybotCookiebotBannerCloseButton\" aria-label=\"\"><svg xmlns=\"http://www.w3.org/2...</button>","#CybotCookiebotDialogHeader > button"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.99:1. Recommendation:  change text colour to #c55400.","<a id=\"CybotCookiebotDialogBodyContentTextShowIABVendors\" href=\"#\">our 820 partners</a>","#CybotCookiebotDialogBodyContentTextShowIABVendors"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.99:1. Recommendation:  change text colour to #c55400.","<a id=\"CybotCookiebotDialogBodyContentTextToggleDetails\" href=\"#\">details section</a>","#CybotCookiebotDialogBodyContentTextToggleDetails"
"error","WCAG2AA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","<form><fieldset><legend class=\"visual...</form>","#CybotCookiebotDialogBodyLevelButtonsSelectPane > form"
"error","WCAG2AA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","<form><input type=\"checkbox\" id=\"Cybo...</form>","#CybotCookiebotDialogDetailBodyContentCookieContainerNecessaryCard > div:nth-child(1) > div > form"
"error","WCAG2AA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","<form><input type=\"checkbox\" id=\"Cybo...</form>","#CybotCookiebotDialogDetailBodyContentCookieContainerPreferenceCard > div:nth-child(1) > div > form"
"error","WCAG2AA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","<form><input type=\"checkbox\" id=\"Cybo...</form>","#CybotCookiebotDialogDetailBodyContentCookieContainerStatisticsCard > div:nth-child(1) > div > form"
"error","WCAG2AA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","<form><input type=\"checkbox\" id=\"Cybo...</form>","#CybotCookiebotDialogDetailBodyContentCookieContainerAdvertisingCard > div:nth-child(1) > div > form"
"error","WCAG2AA.Principle3.Guideline3_2.3_2_2.H32.2","This form does not contain a submit button, which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \"submit\" or \"image\", or BUTTON elements with type \"submit\" or omitted/invalid.","<form class=\"CybotCookiebotDialogBodyLevelButtonSliderWrapper\"><input type=\"checkbox\" id=\"Cybo...</form>","#CybotCookiebotDialogBodyButtons > div:nth-child(1) > form"
